train_loss,train_accuracy,test_loss,test_accuracy,long_loss,long_accuracy
0.050492715,0.5583406,0.051504906,0.5424844,0.06331133,0.42799687
0.050428238,0.55787814,0.0507024,0.5576875,0.06287245,0.42944375
0.050707925,0.55832815,0.05095615,0.5561875,0.06713085,0.41845
0.05040121,0.56229377,0.051151164,0.54593754,0.06432331,0.42983437
0.050148092,0.56707186,0.0504948,0.5619844,0.06583929,0.4250375
0.049885258,0.5701626,0.05002012,0.56715626,0.06322034,0.4359625
0.05070641,0.56411874,0.05057884,0.5599063,0.06348744,0.4352531
0.04944466,0.5732032,0.049538545,0.5680938,0.06385161,0.43409687
0.0493487,0.5784875,0.049567036,0.57832813,0.060410142,0.44550312
0.049781643,0.57249063,0.049152162,0.5782344,0.06239709,0.44594687
0.049292754,0.5799437,0.04979821,0.5681719,0.060195006,0.44249687
0.04875396,0.5852781,0.04880097,0.5850469,0.062032506,0.44225624
0.04877147,0.58958435,0.05533744,0.5224063,0.061586134,0.4408375
0.05188115,0.56039375,0.05090282,0.57643753,0.063536204,0.42929062
0.049599763,0.5788624,0.048363984,0.5885938,0.060104903,0.45874375
0.04823697,0.5955937,0.04794987,0.58706254,0.06013776,0.45633125
0.04775868,0.5979501,0.047673263,0.59429693,0.06065777,0.45488125
0.048252106,0.5951718,0.048248827,0.59256256,0.05978032,0.4561
0.049919743,0.58477503,0.049303483,0.58518755,0.06159493,0.4517281
0.047919106,0.5984718,0.04762348,0.5962813,0.06125889,0.45771873
0.047166735,0.6054062,0.04725136,0.60270315,0.058453277,0.46367186
0.047130752,0.60635626,0.0472105,0.60312504,0.05832572,0.46387812
0.04724462,0.6070969,0.047707427,0.603375,0.061244767,0.46024373
0.047485817,0.604075,0.049127303,0.5828906,0.060928516,0.4389
0.05178274,0.5702812,0.05103336,0.5803438,0.06041865,0.45267498
0.048317622,0.60135317,0.048437096,0.60518754,0.061693225,0.46827185
0.046994906,0.6106343,0.047757544,0.60503125,0.06322734,0.45858437
